




Analysis Type:	PANTHER Overrepresentation Test (Released 20210224)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.4735677 Released 2021-05-01
Analyzed List:	H3K4me3_HepG2.intersect_with_G4_seq_Li_K.genes_uniq.txt (Homo sapiens)
Reference List:	Homo sapiens (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	Homo sapiens - REFLIST (20595)	H3K4me3_HepG2.intersect_with_G4_seq_Li_K.genes_uniq.txt (7291)	H3K4me3_HepG2.intersect_with_G4_seq_Li_K.genes_uniq.txt (expected)	H3K4me3_HepG2.intersect_with_G4_seq_Li_K.genes_uniq.txt (over/under)	H3K4me3_HepG2.intersect_with_G4_seq_Li_K.genes_uniq.txt (fold Enrichment)	H3K4me3_HepG2.intersect_with_G4_seq_Li_K.genes_uniq.txt (raw P-value)	H3K4me3_HepG2.intersect_with_G4_seq_Li_K.genes_uniq.txt (FDR)
regulation of cell morphogenesis (GO:0022604)	310	158	109.75	+	1.44	2.43E-04	1.05E-02
protein catabolic process (GO:0030163)	697	355	246.75	+	1.44	2.72E-08	2.62E-06
regulation of supramolecular fiber organization (GO:1902903)	382	194	135.23	+	1.43	5.46E-05	2.80E-03
regulation of chromosome organization (GO:0033044)	290	147	102.67	+	1.43	4.38E-04	1.79E-02
negative regulation of transferase activity (GO:0051348)	306	155	108.33	+	1.43	3.33E-04	1.40E-02
chromosome organization (GO:0051276)	1064	538	376.68	+	1.43	9.77E-12	1.42E-09
phospholipid biosynthetic process (GO:0008654)	289	146	102.31	+	1.43	5.21E-04	2.09E-02
regulation of catabolic process (GO:0009894)	1066	538	377.38	+	1.43	1.23E-11	1.77E-09
regulation of cellular protein localization (GO:1903827)	561	283	198.60	+	1.42	1.40E-06	1.03E-04
positive regulation of cell projection organization (GO:0031346)	353	178	124.97	+	1.42	1.46E-04	6.69E-03
negative regulation of phosphorylation (GO:0042326)	395	199	139.84	+	1.42	5.81E-05	2.95E-03
cell-cell signaling by wnt (GO:0198738)	350	176	123.91	+	1.42	1.67E-04	7.58E-03
Wnt signaling pathway (GO:0016055)	350	176	123.91	+	1.42	1.67E-04	7.56E-03
DNA replication (GO:0006260)	273	137	96.65	+	1.42	1.00E-03	3.62E-02
regulation of Wnt signaling pathway (GO:0030111)	377	189	133.46	+	1.42	1.08E-04	5.11E-03
small GTPase mediated signal transduction (GO:0007264)	262	131	92.75	+	1.41	1.45E-03	4.85E-02
mitotic cell cycle phase transition (GO:0044772)	262	131	92.75	+	1.41	1.45E-03	4.84E-02
Golgi vesicle transport (GO:0048193)	398	199	140.90	+	1.41	8.96E-05	4.38E-03
rhythmic process (GO:0048511)	269	134	95.23	+	1.41	1.37E-03	4.64E-02
regulation of cell cycle process (GO:0010564)	792	394	280.38	+	1.41	3.44E-08	3.20E-06
negative regulation of transcription by RNA polymerase II (GO:0000122)	906	449	320.74	+	1.40	5.06E-09	5.37E-07
methylation (GO:0032259)	313	155	110.81	+	1.40	8.09E-04	3.02E-02
negative regulation of protein modification process (GO:0031400)	558	276	197.54	+	1.40	5.92E-06	3.88E-04
regulation of intracellular transport (GO:0032386)	364	180	128.86	+	1.40	3.12E-04	1.32E-02
negative regulation of cellular macromolecule biosynthetic process (GO:2000113)	1540	761	545.19	+	1.40	1.18E-14	2.58E-12
regulation of cell cycle (GO:0051726)	1164	575	412.08	+	1.40	3.86E-11	5.18E-09
response to light stimulus (GO:0009416)	316	156	111.87	+	1.39	8.51E-04	3.15E-02
positive regulation of protein transport (GO:0051222)	331	163	117.18	+	1.39	6.37E-04	2.46E-02
negative regulation of transcription, DNA-templated (GO:0045892)	1297	638	459.16	+	1.39	4.95E-12	7.75E-10
regulation of organelle organization (GO:0033043)	1208	594	427.65	+	1.39	3.16E-11	4.34E-09
DNA metabolic process (GO:0006259)	777	382	275.07	+	1.39	1.38E-07	1.15E-05
negative regulation of macromolecule biosynthetic process (GO:0010558)	1551	762	549.08	+	1.39	2.95E-14	5.98E-12
negative regulation of RNA biosynthetic process (GO:1902679)	1301	639	460.58	+	1.39	5.28E-12	8.11E-10
negative regulation of nucleic acid-templated transcription (GO:1903507)	1299	638	459.87	+	1.39	6.13E-12	9.32E-10
cellular response to stress (GO:0033554)	1741	855	616.35	+	1.39	6.24E-16	1.47E-13
regulation of cellular amide metabolic process (GO:0034248)	479	235	169.57	+	1.39	4.83E-05	2.52E-03
regulation of neuron death (GO:1901214)	316	155	111.87	+	1.39	1.02E-03	3.68E-02
regulation of protein stability (GO:0031647)	306	150	108.33	+	1.38	1.24E-03	4.27E-02
negative regulation of cellular biosynthetic process (GO:0031327)	1610	789	569.97	+	1.38	1.43E-14	2.96E-12
regulation of neuron projection development (GO:0010975)	447	219	158.25	+	1.38	9.98E-05	4.81E-03
cellular macromolecule catabolic process (GO:0044265)	925	453	327.47	+	1.38	1.19E-08	1.21E-06
nucleic acid-templated transcription (GO:0097659)	531	260	187.98	+	1.38	1.91E-05	1.11E-03
transcription by RNA polymerase II (GO:0006366)	382	187	135.23	+	1.38	3.51E-04	1.46E-02
negative regulation of RNA metabolic process (GO:0051253)	1408	689	498.46	+	1.38	1.29E-12	2.17E-10
negative regulation of intracellular signal transduction (GO:1902532)	507	248	179.49	+	1.38	3.15E-05	1.72E-03
negative regulation of biosynthetic process (GO:0009890)	1643	803	581.65	+	1.38	1.36E-14	2.86E-12
transcription, DNA-templated (GO:0006351)	530	259	187.63	+	1.38	2.24E-05	1.27E-03
regulation of growth (GO:0040008)	661	323	234.01	+	1.38	2.17E-06	1.55E-04
negative regulation of nucleobase-containing compound metabolic process (GO:0045934)	1528	746	540.94	+	1.38	1.54E-13	2.83E-11
regulation of cell growth (GO:0001558)	422	206	149.40	+	1.38	1.93E-04	8.57E-03
phosphorylation (GO:0016310)	877	428	310.47	+	1.38	4.66E-08	4.21E-06
intracellular protein transport (GO:0006886)	781	381	276.49	+	1.38	2.96E-07	2.31E-05
organophosphate biosynthetic process (GO:0090407)	552	269	195.42	+	1.38	1.86E-05	1.09E-03
in utero embryonic development (GO:0001701)	366	178	129.57	+	1.37	5.54E-04	2.19E-02
RNA biosynthetic process (GO:0032774)	543	264	192.23	+	1.37	2.72E-05	1.52E-03
nucleobase-containing compound biosynthetic process (GO:0034654)	975	474	345.17	+	1.37	1.07E-08	1.09E-06
organelle localization (GO:0051640)	609	296	215.60	+	1.37	7.89E-06	5.01E-04
response to radiation (GO:0009314)	452	219	160.02	+	1.37	1.53E-04	6.99E-03
positive regulation of establishment of protein localization (GO:1904951)	347	168	122.84	+	1.37	9.83E-04	3.57E-02
cell cycle process (GO:0022402)	957	463	338.80	+	1.37	2.72E-08	2.64E-06
cellular macromolecule localization (GO:0070727)	1480	716	523.95	+	1.37	2.20E-12	3.59E-10
regulation of cell projection organization (GO:0031344)	648	313	229.40	+	1.36	7.07E-06	4.52E-04
cellular protein localization (GO:0034613)	1470	710	520.41	+	1.36	3.83E-12	6.05E-10
regulation of cytoskeleton organization (GO:0051493)	526	254	186.21	+	1.36	5.01E-05	2.60E-03
regulation of cellular response to stress (GO:0080135)	692	334	244.98	+	1.36	3.45E-06	2.38E-04
establishment of protein localization (GO:0045184)	1397	674	494.56	+	1.36	1.55E-11	2.21E-09
regulation of plasma membrane bounded cell projection organization (GO:0120035)	631	304	223.39	+	1.36	1.09E-05	6.66E-04
protein phosphorylation (GO:0006468)	685	330	242.50	+	1.36	4.37E-06	2.98E-04
cellular component disassembly (GO:0022411)	409	197	144.79	+	1.36	4.45E-04	1.81E-02
heterocycle biosynthetic process (GO:0018130)	1049	505	371.36	+	1.36	9.34E-09	9.58E-07
enzyme linked receptor protein signaling pathway (GO:0007167)	723	348	255.95	+	1.36	2.33E-06	1.65E-04
transmembrane receptor protein tyrosine kinase signaling pathway (GO:0007169)	522	251	184.80	+	1.36	7.79E-05	3.86E-03
regulation of actin cytoskeleton organization (GO:0032956)	358	172	126.74	+	1.36	1.16E-03	4.04E-02
macromolecule catabolic process (GO:0009057)	1058	508	374.55	+	1.36	1.24E-08	1.25E-06
protein transport (GO:0015031)	1300	624	460.22	+	1.36	2.06E-10	2.60E-08
protein localization to organelle (GO:0033365)	742	356	262.68	+	1.36	2.55E-06	1.80E-04
regulation of translation (GO:0006417)	415	199	146.92	+	1.35	4.86E-04	1.96E-02
protein localization (GO:0008104)	2063	989	730.34	+	1.35	2.91E-16	7.42E-14
intracellular transport (GO:0046907)	1464	701	518.28	+	1.35	1.66E-11	2.34E-09
regulation of protein localization (GO:0032880)	894	428	316.49	+	1.35	2.33E-07	1.86E-05
regulation of mRNA metabolic process (GO:1903311)	376	180	133.11	+	1.35	9.09E-04	3.33E-02
posttranscriptional regulation of gene expression (GO:0010608)	581	278	205.68	+	1.35	3.98E-05	2.12E-03
gland development (GO:0048732)	414	198	146.56	+	1.35	5.66E-04	2.22E-02
protein modification by small protein conjugation (GO:0032446)	822	393	291.00	+	1.35	8.86E-07	6.60E-05
cell cycle (GO:0007049)	1316	629	465.89	+	1.35	3.01E-10	3.72E-08
microtubule cytoskeleton organization (GO:0000226)	567	271	200.73	+	1.35	5.38E-05	2.77E-03
protein modification by small protein conjugation or removal (GO:0070647)	1035	494	366.41	+	1.35	3.44E-08	3.18E-06
negative regulation of cellular component organization (GO:0051129)	724	345	256.31	+	1.35	5.37E-06	3.61E-04
post-translational protein modification (GO:0043687)	361	172	127.80	+	1.35	1.43E-03	4.81E-02
positive regulation of organelle organization (GO:0010638)	605	288	214.18	+	1.34	3.96E-05	2.12E-03
negative regulation of signal transduction (GO:0009968)	1305	621	461.99	+	1.34	6.03E-10	7.33E-08
regulation of cellular component biogenesis (GO:0044087)	974	463	344.81	+	1.34	1.31E-07	1.10E-05
positive regulation of nucleobase-containing compound metabolic process (GO:0045935)	1941	922	687.15	+	1.34	2.46E-14	5.05E-12
positive regulation of RNA metabolic process (GO:0051254)	1773	842	627.67	+	1.34	3.94E-13	6.92E-11
regulation of cellular component organization (GO:0051128)	2390	1135	846.10	+	1.34	9.04E-18	2.80E-15
establishment of protein localization to organelle (GO:0072594)	394	187	139.48	+	1.34	1.15E-03	4.05E-02
regulation of protein modification process (GO:0031399)	1654	785	585.55	+	1.34	3.44E-12	5.50E-10
positive regulation of transcription by RNA polymerase II (GO:0045944)	1212	575	429.07	+	1.34	4.11E-09	4.42E-07
mitochondrion organization (GO:0007005)	468	222	165.68	+	1.34	3.72E-04	1.54E-02
nucleic acid metabolic process (GO:0090304)	2217	1050	784.86	+	1.34	4.33E-16	1.04E-13
positive regulation of nucleic acid-templated transcription (GO:1903508)	1628	771	576.34	+	1.34	7.91E-12	1.19E-09
positive regulation of transcription, DNA-templated (GO:0045893)	1628	771	576.34	+	1.34	7.91E-12	1.18E-09
response to growth factor (GO:0070848)	526	249	186.21	+	1.34	1.59E-04	7.24E-03
positive regulation of RNA biosynthetic process (GO:1902680)	1629	771	576.70	+	1.34	8.04E-12	1.19E-09
positive regulation of nitrogen compound metabolic process (GO:0051173)	3123	1477	1105.60	+	1.34	4.41E-23	2.40E-20
aromatic compound biosynthetic process (GO:0019438)	1060	501	375.26	+	1.34	6.60E-08	5.79E-06
positive regulation of protein metabolic process (GO:0051247)	1562	738	552.98	+	1.33	3.48E-11	4.70E-09
protein ubiquitination (GO:0016567)	746	352	264.10	+	1.33	8.35E-06	5.28E-04
negative regulation of cell communication (GO:0010648)	1401	660	495.98	+	1.33	6.31E-10	7.61E-08
cellular response to growth factor stimulus (GO:0071363)	497	234	175.95	+	1.33	3.35E-04	1.40E-02
mRNA metabolic process (GO:0016071)	697	328	246.75	+	1.33	2.20E-05	1.25E-03
regulation of transferase activity (GO:0051338)	1033	486	365.70	+	1.33	1.68E-07	1.38E-05
negative regulation of signaling (GO:0023057)	1405	661	497.40	+	1.33	7.75E-10	9.21E-08
regulation of protein transport (GO:0051223)	556	261	196.83	+	1.33	1.69E-04	7.61E-03
positive regulation of cellular metabolic process (GO:0031325)	3314	1555	1173.22	+	1.33	2.72E-23	1.54E-20
cell surface receptor signaling pathway involved in cell-cell signaling (GO:1905114)	420	197	148.69	+	1.32	1.17E-03	4.07E-02
negative regulation of phosphorus metabolic process (GO:0010563)	484	227	171.34	+	1.32	5.33E-04	2.12E-02
positive regulation of macromolecule biosynthetic process (GO:0010557)	1863	873	659.54	+	1.32	1.36E-12	2.26E-10
regulation of cellular localization (GO:0060341)	841	394	297.73	+	1.32	4.01E-06	2.76E-04
negative regulation of nitrogen compound metabolic process (GO:0051172)	2453	1149	868.41	+	1.32	1.43E-16	3.91E-14
regulation of establishment of protein localization (GO:0070201)	581	272	205.68	+	1.32	1.43E-04	6.58E-03
regulation of protein-containing complex assembly (GO:0043254)	455	213	161.08	+	1.32	8.18E-04	3.05E-02
negative regulation of phosphate metabolic process (GO:0045936)	483	226	170.99	+	1.32	6.14E-04	2.39E-02
organic cyclic compound biosynthetic process (GO:1901362)	1196	559	423.41	+	1.32	3.64E-08	3.34E-06
mRNA processing (GO:0006397)	486	227	172.05	+	1.32	6.36E-04	2.46E-02
macromolecule localization (GO:0033036)	2496	1165	883.63	+	1.32	1.95E-16	5.15E-14
nucleobase-containing compound metabolic process (GO:0006139)	2705	1261	957.62	+	1.32	8.27E-18	2.62E-15
positive regulation of cellular protein metabolic process (GO:0032270)	1474	687	521.82	+	1.32	1.06E-09	1.25E-07
positive regulation of protein modification process (GO:0031401)	1079	502	381.99	+	1.31	3.31E-07	2.55E-05
regulation of protein kinase activity (GO:0045859)	802	373	283.92	+	1.31	1.18E-05	7.17E-04
cellular protein modification process (GO:0006464)	2985	1388	1056.74	+	1.31	2.09E-19	7.19E-17
protein modification process (GO:0036211)	2985	1388	1056.74	+	1.31	2.09E-19	7.03E-17
regulation of kinase activity (GO:0043549)	914	425	323.57	+	1.31	2.73E-06	1.91E-04
positive regulation of cellular biosynthetic process (GO:0031328)	1969	915	697.06	+	1.31	1.67E-12	2.75E-10
microtubule-based process (GO:0007017)	806	374	285.34	+	1.31	1.43E-05	8.51E-04
chordate embryonic development (GO:0043009)	613	284	217.01	+	1.31	1.77E-04	7.91E-03
response to nutrient levels (GO:0031667)	501	232	177.36	+	1.31	7.55E-04	2.85E-02
cellular protein metabolic process (GO:0044267)	3590	1661	1270.92	+	1.31	5.10E-23	2.69E-20
phosphorus metabolic process (GO:0006793)	1835	849	649.62	+	1.31	2.30E-11	3.22E-09
positive regulation of cellular component organization (GO:0051130)	1161	537	411.01	+	1.31	2.06E-07	1.68E-05
macromolecule modification (GO:0043412)	3211	1485	1136.75	+	1.31	3.30E-20	1.16E-17
negative regulation of cellular metabolic process (GO:0031324)	2613	1208	925.05	+	1.31	4.09E-16	1.02E-13
positive regulation of biosynthetic process (GO:0009891)	2004	926	709.45	+	1.31	2.83E-12	4.56E-10
phosphate-containing compound metabolic process (GO:0006796)	1808	835	640.06	+	1.30	5.05E-11	6.70E-09
organonitrogen compound catabolic process (GO:1901565)	1091	503	386.23	+	1.30	6.81E-07	5.10E-05
RNA metabolic process (GO:0016070)	1582	729	560.06	+	1.30	1.34E-09	1.55E-07
regulation of protein metabolic process (GO:0051246)	2665	1228	943.46	+	1.30	4.29E-16	1.04E-13
cellular macromolecule metabolic process (GO:0044260)	4909	2259	1737.87	+	1.30	2.12E-32	2.09E-29
embryo development (GO:0009790)	991	456	350.83	+	1.30	2.93E-06	2.03E-04
embryo development ending in birth or egg hatching (GO:0009792)	633	291	224.09	+	1.30	2.19E-04	9.58E-03
positive regulation of macromolecule metabolic process (GO:0010604)	3522	1616	1246.85	+	1.30	3.96E-21	1.74E-18
regulation of phosphorylation (GO:0042325)	1391	638	492.44	+	1.30	3.00E-08	2.84E-06
regulation of protein phosphorylation (GO:0001932)	1218	558	431.19	+	1.29	2.76E-07	2.17E-05
heterocycle metabolic process (GO:0046483)	2891	1324	1023.47	+	1.29	9.98E-17	2.77E-14
cellular nitrogen compound biosynthetic process (GO:0044271)	1553	711	549.79	+	1.29	5.86E-09	6.13E-07
cellular macromolecule biosynthetic process (GO:0034645)	1639	750	580.24	+	1.29	2.02E-09	2.26E-07
regulation of cellular protein metabolic process (GO:0032268)	2501	1144	885.40	+	1.29	3.19E-14	6.39E-12
macromolecule biosynthetic process (GO:0009059)	1680	767	594.75	+	1.29	1.67E-09	1.90E-07
positive regulation of metabolic process (GO:0009893)	3820	1743	1352.35	+	1.29	3.09E-22	1.44E-19
intracellular signal transduction (GO:0035556)	1677	765	593.69	+	1.29	2.15E-09	2.40E-07
organelle organization (GO:0006996)	3567	1627	1262.78	+	1.29	1.84E-20	6.78E-18
RNA processing (GO:0006396)	930	424	329.24	+	1.29	1.37E-05	8.20E-04
cellular aromatic compound metabolic process (GO:0006725)	2937	1339	1039.75	+	1.29	2.07E-16	5.35E-14
